LFM;0;0;0;0;0;0;0;0;0;0;;
FM;37;33;37;40;28;50;39;41;45;42;;
PSK;63;67;63;60;72;50;61;59;55;58;;
NM;0;0;0;0;0;0;0;0;0;0;;
LFM;0;0;0;0;0;0;0;0;0;0;;
FM;51;62;72;79;89;86;79;83;87;81;;
PSK;49;38;28;21;11;14;21;17;13;19;;
NM;0;0;0;0;0;0;0;0;0;0;;
LFM;0;0;0;0;0;0;0;0;0;0;;
FM;44;38;44;40;46;60;60;63;53;66;;
PSK;56;62;56;60;54;40;40;37;47;34;;
NM;0;0;0;0;0;0;0;0;0;0;;
LFM;0;0;0;0;0;0;0;0;0;0;;
FM;64;66;78;86;83;92;91;91;87;90;;
PSK;36;34;22;14;17;8;9;9;13;10;;
NM;0;0;0;0;0;0;0;0;0;0;;
LFM;0;0;0;0;0;0;0;0;0;0;;
FM;40;60;73;83;78;85;89;90;90;91;;
PSK;60;40;27;17;22;15;11;10;10;9;;
NM;0;0;0;0;0;0;0;0;0;0;;
LFM;0;0;0;0;0;0;0;0;0;0;;
FM;82;94;98;99;100;100;99;100;100;100;;
PSK;18;6;2;1;0;0;1;0;0;0;;
NM;0;0;0;0;0;0;0;0;0;0;;
LFM;1;0;0;0;0;0;0;0;0;0;;
FM;76;83;81;92;91;91;90;94;90;95;;
PSK;23;17;19;8;9;9;10;6;10;5;;
NM;0;0;0;0;0;0;0;0;0;0;;
LFM;3;0;0;0;0;0;0;0;0;0;;
FM;96;98;100;100;100;100;100;100;100;100;;
PSK;1;2;0;0;0;0;0;0;0;0;;
NM;0;0;0;0;0;0;0;0;0;0;;
LFM;8;0;0;0;0;0;0;0;0;0;;
FM;91;97;100;99;100;100;100;98;100;100;;
PSK;1;3;0;1;0;0;0;2;0;0;;
NM;0;0;0;0;0;0;0;0;0;0;;
LFM;54;17;0;0;0;0;0;0;0;0;;
FM;43;83;100;100;100;100;100;100;100;100;;
PSK;3;0;0;0;0;0;0;0;0;0;;
NM;0;0;0;0;0;0;0;0;0;0;;
;;;;;;;;;;;;
LFM;66;17;0;0;0;0;0;0;0;0;;
FM;624;714;783;818;815;864;847;860;852;865;;
PSK;310;269;217;182;185;136;153;140;148;135;;
NM;0;0;0;0;0;0;0;0;0;0;;
;0,624;0,714;0,783;0,818;0,815;0,864;0,847;0,86;0,852;0,865;;